,terminals,flute_wl,flute_nsps,flute_ct,geosteiner_wl,geosteiner_nsps,geosteiner_ct,cockayne_wl,cockayne_nsps,cockayne_ct
27889,12,24819.0,10.0,1.5e-05,24819.0,10.0,0.000165,24819.0,10.0,0.303445
27890,12,26789.0,10.0,1.5e-05,26789.0,10.0,0.000202,26789.0,10.0,0.292784
27891,12,16593.0,10.0,5e-06,16593.0,10.0,0.000231,16593.0,11.0,0.239946
27892,12,23872.0,10.0,4.2e-05,23872.0,10.0,0.000334,23872.0,10.0,0.43167
27893,12,27649.0,10.0,2.1e-05,27578.0,10.0,0.000144,27578.0,10.0,0.269783
27894,12,30049.0,10.0,1.8e-05,30049.0,10.0,0.000333,30049.0,10.0,0.432944
27895,12,23084.0,10.0,1.9e-05,23084.0,9.0,0.000597,23084.0,10.0,0.267544
27896,12,26157.0,10.0,2.2e-05,26157.0,10.0,0.000302,26157.0,11.0,0.351081
27897,12,24734.0,10.0,1.6e-05,24734.0,10.0,0.000194,24734.0,10.0,0.225523
27898,12,29318.0,10.0,2e-05,29318.0,10.0,0.00024,29318.0,10.0,0.257637
27899,12,29925.0,10.0,1.6e-05,29925.0,10.0,0.000351,29925.0,10.0,0.307074
27900,12,30531.0,10.0,1.6e-05,30531.0,9.0,0.000231,30531.0,9.0,0.337728
27901,12,27566.0,10.0,1.5e-05,27566.0,10.0,0.000254,27566.0,10.0,0.259983
27902,12,24055.0,10.0,1.8e-05,24055.0,10.0,0.000144,24055.0,10.0,0.36678
27903,12,23419.0,10.0,1.7e-05,23419.0,10.0,0.000262,23419.0,10.0,0.268198
27904,12,22649.0,10.0,6e-06,22649.0,10.0,0.00031,22649.0,11.0,0.169618
27905,12,29745.0,10.0,1.9e-05,29745.0,10.0,0.000175,29745.0,10.0,0.348206
27906,12,24515.0,10.0,1.3e-05,24515.0,10.0,0.000185,24515.0,10.0,0.251484
27907,12,22548.0,10.0,1.3e-05,22548.0,10.0,0.000168,22548.0,10.0,0.218881
